id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_687519,687519,6875,state_co_1108,rural,"","Caribe- Irlanda-  Puerto Limón-  Villa Eva-  Bocas",True
postal_707030,707030,7070,state_co_1133,urban,"6 de Enero- Calle Nueva- Villa María","",True
postal_054018,054018,0540,state_co_300,rural,"","Compañia Abajo- El Canelo-  El Carmelo-  La Cabaña-  La Peña-  Piedra Gorda-  Salto Arriba",True
postal_446007,446007,4460,state_co_842,rural,"","",True
postal_153420,153420,1534,state_co_472,urban,"","",True
postal_474048,474048,4740,state_co_869,rural,"","Casa Blanca- San Jose de Prevension",True
postal_253427,253427,2534,state_co_726,rural,"","Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro",True
postal_055030,055030,0550,state_co_202,urban,"","Alto de Letras",True
postal_151007,151007,1510,state_co_489,rural,"","Cabecera Municipal- Cañabravo-  Centro-  Centro-  El Espinal-  El Espinal-  La Chorrera-  Llano Grande-  LLanoGrande",True
postal_504068,504068,5040,state_co_912,rural,"","Angoleta- Argentina-  Bajo Vergel-  Brisas del Guejar-  Cachicamo-  Charcon-  Puerto Nuevo",True
postal_734007,734007,7340,state_co_1182,rural,"","Buenavista- Calcuta-  Cualamaná-  El Águila-  El Águila Baja-  El Floral-  Inalí-  La Primavera",True
postal_051437,051437,0514,state_co_246,rural,"","Cabecera Municipal- Cucurucho-  El Botón-  El Peñol-  El Progreso-  Embalse Río Grande-  La Muñoz-  La Planta-  Las Brisas-  Los Salados-  Orobajo Río Grande-  Pío XII-  Quebrada del Medio-  Río Chico-  Río Grande-  Riochico-  Tesorero-  Verbenal",True
postal_191077,191077,1910,state_co_569,rural,"","Altamira- Campo Alegre-  Carpintero-  Dominga Alta-  El Arrayán-  El Chocho-  El Poblado-  El Socorro-  Guadualito-  Guataba-  Huellas-  La Buitrera-  La Estrella-  La Guinea-  La Palma-  La Pila-  La Placa-  Loma Gruesa-  Loma Pelada-  Los Chorros-  Los",True
postal_503008,503008,5030,state_co_905,rural,"","Brasilia- Campo Alegre-  Cano Rayado-  Caribe-  Charco 16-  Fundadores-  Primavera",True
postal_050032,050032,0500,state_co_201,urban,"Barrio Cristóbal- Belencito- Campo Alegre- El Danubio- La América- La Castellana- La Floresta- Las Mercedes- Nueva Villa del Aburrá- Santa Mónica- Santa Teresita- Simón Bolívar","",True
postal_057067,057067,0570,state_co_229,rural,"","Alto de la Aldea- Caracolal-  Cestillal-  Chupadero-  Cumbarrá-  El Socorro-  La Aguada-  La Curva-  La Loma-  San Luis del Café-  San Miguel-  San Pascual-  Santo Cristo-  Uvital",True
postal_880007,880007,8800,state_co_1284,rural,"","",True
