id,abbreviation,name,type_code,sequence,active
nomenclature_ac,AC,AVENIDA CALLE,principal,1,True
nomenclature_ak,AK,AVENIDA CARRERA,principal,2,True
nomenclature_aut,AUT,AUTOPISTA,principal,3,True
nomenclature_av,AV,AVENIDA,principal,4,True
nomenclature_avial,AVIAL,AVENIDA CIRCUNVALAR,principal,5,True
nomenclature_cir,CIR,CIRCULAR,principal,6,True
nomenclature_cl,CL,CALLE,principal,7,True
nomenclature_cr,CR,CARRERA,principal,8,True
nomenclature_crv,CRV,CIRCUNVALAR,principal,9,True
nomenclature_dg,DG,DIAGONAL,principal,10,True
nomenclature_km,KM,KILOMETRO,principal,11,True
nomenclature_tc,TC,TRANSVERSAL CALLE,principal,12,True
nomenclature_tv,TV,TRANSVERSAL,principal,13,True
nomenclature_via,VIA,VIA,principal,14,True
nomenclature_bis,BIS,BIS,qualifying,1,True
nomenclature_este,ESTE,ESTE,qualifying,2,True
nomenclature_norte,NORTE,NORTE,qualifying,3,True
nomenclature_occ,OCC,OCCIDENTE,qualifying,4,True
nomenclature_oeste,OESTE,OESTE,qualifying,5,True
nomenclature_ori,ORI,ORIENTE,qualifying,6,True
nomenclature_sur,SUR,SUR,qualifying,7,True
nomenclature_a,A,A,letter,1,True
nomenclature_b,B,B,letter,2,True
nomenclature_c,C,C,letter,3,True
nomenclature_d,D,D,letter,4,True
nomenclature_e,E,E,letter,5,True
nomenclature_f,F,F,letter,6,True
nomenclature_g,G,G,letter,7,True
nomenclature_h,H,H,letter,8,True
nomenclature_i,I,I,letter,9,True
nomenclature_j,J,J,letter,10,True
nomenclature_k,K,K,letter,11,True
nomenclature_l,L,L,letter,12,True
nomenclature_m,M,M,letter,13,True
nomenclature_n,N,N,letter,14,True
nomenclature_o,O,O,letter,15,True
nomenclature_p,P,P,letter,16,True
nomenclature_q,Q,Q,letter,17,True
nomenclature_r,R,R,letter,18,True
nomenclature_s,S,S,letter,19,True
nomenclature_t,T,T,letter,20,True
nomenclature_u,U,U,letter,21,True
nomenclature_v,V,V,letter,22,True
nomenclature_w,W,W,letter,23,True
nomenclature_x,X,X,letter,24,True
nomenclature_y,Y,Y,letter,25,True
nomenclature_z,Z,Z,letter,26,True
nomenclature_ad,AD,ADICIONAL,additional,1,True
nomenclature_adl,ADL,ADELANTE,additional,2,True
nomenclature_aer,AER,AEROPUERTO,additional,3,True
nomenclature_ag,AG,AGRUPACION,additional,4,True
nomenclature_alm,ALM,ALMACEN,additional,5,True
nomenclature_ap,AP,APARTAMENTO,additional,6,True
nomenclature_apto,APTO,APARTAMENTO,additional,7,True
nomenclature_bar,BAR,BARRIO,additional,8,True
nomenclature_bg,BG,BODEGA,additional,9,True
nomenclature_bl,BL,BLOQUE,additional,10,True
nomenclature_brr,BRR,BARRIO,additional,11,True
nomenclature_ca,CA,CASA,additional,12,True
nomenclature_cam,CAM,CAMINO,additional,13,True
nomenclature_cas,CAS,CASA,additional,14,True
nomenclature_cel,CEL,CELULA,additional,15,True
nomenclature_cen,CEN,CENTRO,additional,16,True
nomenclature_cj,CJ,CONJUNTO,additional,17,True
nomenclature_com,COM,COMERCIAL,additional,18,True
nomenclature_cons,CONS,CONSULTORIO,additional,19,True
nomenclature_contr,CONTR,CONJUNTO RESIDENCIAL,additional,20,True
nomenclature_cost,COST,COSTADO,additional,21,True
nomenclature_dep,DEP,DEPOSITO,additional,22,True
nomenclature_depo,DEPO,DEPOSITO,additional,23,True
nomenclature_dto,DTO,DEPARTAMENTO,additional,24,True
nomenclature_ed,ED,EDIFICIO,additional,25,True
nomenclature_edi,EDI,EDIFICIO,additional,26,True
nomenclature_edif,EDIF,EDIFICIO,additional,27,True
nomenclature_ent,ENT,ENTRADA,additional,28,True
nomenclature_eq,EQ,ESQUINA,additional,29,True
nomenclature_esq,ESQ,ESQUINA,additional,30,True
nomenclature_et,ET,ETAPA,additional,31,True
nomenclature_fab,FAB,FABRICA,additional,32,True
nomenclature_fca,FCA,FINCA,additional,33,True
nomenclature_ga,GA,GARAJE,additional,34,True
nomenclature_gr,GR,GRUPO,additional,35,True
nomenclature_hab,HAB,HABITACION,additional,36,True
nomenclature_hda,HDA,HACIENDA,additional,37,True
nomenclature_int,INT,INTERIOR,additional,38,True
nomenclature_km_add,KM,KILOMETRO,additional,39,True
