id,code,name,ciiu_type,section,parent_id:id,is_dian_special,active
ciiu_section_a,A,Agricultura ganaderia caza silvicultura y pesca,section,A,,False,True
ciiu_section_b,B,Explotacion de minas y canteras,section,B,,False,True
ciiu_section_c,C,Industrias manufactureras,section,C,,False,True
ciiu_section_d,D,Suministro de electricidad gas vapor y aire acondicionado,section,D,,False,True
ciiu_section_e,E,Distribucion de agua evacuacion y tratamiento de aguas residuales gestion de desechos,section,E,,False,True
ciiu_section_f,F,Construccion,section,F,,False,True
ciiu_section_g,G,Comercio al por mayor y al por menor reparacion de vehiculos automotores y motocicletas,section,G,,False,True
ciiu_section_h,H,Transporte y almacenamiento,section,H,,False,True
ciiu_section_i,I,Alojamiento y servicios de comida,section,I,,False,True
ciiu_section_j,J,Informacion y comunicaciones,section,J,,False,True
ciiu_section_k,K,Actividades financieras y de seguros,section,K,,False,True
ciiu_section_l,L,Actividades inmobiliarias,section,L,,False,True
ciiu_section_m,M,Actividades profesionales cientificas y tecnicas,section,M,,False,True
ciiu_section_n,N,Actividades de servicios administrativos y de apoyo,section,N,,False,True
ciiu_section_o,O,Administracion publica y defensa planes de seguridad social de afiliacion obligatoria,section,O,,False,True
ciiu_section_p,P,Educacion,section,P,,False,True
ciiu_section_q,Q,Actividades de atencion de la salud humana y de asistencia social,section,Q,,False,True
ciiu_section_r,R,Actividades artisticas de entretenimiento y recreacion,section,R,,False,True
ciiu_section_s,S,Otras actividades de servicios,section,S,,False,True
ciiu_section_t,T,Actividades de los hogares individuales como empleadores,section,T,,False,True
ciiu_section_u,U,Actividades de organizaciones y entidades extraterritoriales,section,U,,False,True
ciiu_dian_0010,0010,Asalariados,dian,DIAN,,True,True
ciiu_dian_0020,0020,Pensionados,dian,DIAN,,True,True
ciiu_dian_0081,0081,Personas naturales sin actividad economica,dian,DIAN,,True,True
ciiu_dian_0082,0082,Personas naturales subsidiadas por terceros,dian,DIAN,,True,True
ciiu_dian_0090,0090,Rentistas de capital solo para personas naturales,dian,DIAN,,True,True
ciiu_div_01,01,Agricultura  ganadería  caza y actividades de servicios conexas,division,A,ciiu_section_a,False,True
ciiu_group_011,011,Cultivos agrícolas transitorios,group,A,ciiu_div_01,False,True
