id,code,name
lavish_hr_payroll.cie10_a00,A00,Colera
lavish_hr_payroll.cie10_a01,A01,Fiebre tifoidea y paratifoidea
lavish_hr_payroll.cie10_a02,A02,Otras infecciones debidas a Salmonella
lavish_hr_payroll.cie10_a03,A03,Shigelosis
lavish_hr_payroll.cie10_a04,A04,Otras infecciones intestinales bacterianas
lavish_hr_payroll.cie10_a05,A05,Otras intoxicaciones alimentarias bacterianas
lavish_hr_payroll.cie10_a06,A06,Amebiasis
lavish_hr_payroll.cie10_a07,A07,Otras enfermedades intestinales debidas a protozoarios
lavish_hr_payroll.cie10_a08,A08,Infecciones intestinales debidas a virus y otros organismos especificados
lavish_hr_payroll.cie10_a09,A09,Diarrea y gastroenteritis de presunto origen infeccioso
lavish_hr_payroll.cie10_a15,A15,Tuberculosis respiratoria confirmada bacteriologica e histologicamente
lavish_hr_payroll.cie10_a16,A16,Tuberculosis respiratoria no confirmada bacteriologica o histologicamente
lavish_hr_payroll.cie10_a17,A17,Tuberculosis del sistema nervioso
lavish_hr_payroll.cie10_a18,A18,Tuberculosis de otros organos
lavish_hr_payroll.cie10_a19,A19,Tuberculosis miliar
lavish_hr_payroll.cie10_a20,A20,Peste
lavish_hr_payroll.cie10_a21,A21,Tularemia
lavish_hr_payroll.cie10_a22,A22,Carbunco (antrax)
lavish_hr_payroll.cie10_a23,A23,Brucelosis
lavish_hr_payroll.cie10_a24,A24,Muermo y melioidosis
lavish_hr_payroll.cie10_a25,A25,Fiebres por mordedura de rata
lavish_hr_payroll.cie10_a26,A26,Erisipeloide
lavish_hr_payroll.cie10_a27,A27,Leptospirosis
lavish_hr_payroll.cie10_a28,A28,Otras enfermedades zoonoticas bacterianas no clasificadas en otra parte
lavish_hr_payroll.cie10_a30,A30,Lepra (enfermedad de Hansen)
lavish_hr_payroll.cie10_a31,A31,Infecciones debidas a otras micobacterias
lavish_hr_payroll.cie10_a32,A32,Listeriosis
lavish_hr_payroll.cie10_a33,A33,Tetanos neonatal
lavish_hr_payroll.cie10_a34,A34,Tetanos obstetrico
lavish_hr_payroll.cie10_a35,A35,Otros tipos de tetanos
lavish_hr_payroll.cie10_a36,A36,Difteria
lavish_hr_payroll.cie10_a37,A37,Tos ferina (tos convulsiva)
lavish_hr_payroll.cie10_a38,A38,Escarlatina
lavish_hr_payroll.cie10_a39,A39,Infeccion meningococica
lavish_hr_payroll.cie10_a40,A40,Septicemia estreptococica
lavish_hr_payroll.cie10_a41,A41,Otras septicemias
lavish_hr_payroll.cie10_a42,A42,Actinomicosis
lavish_hr_payroll.cie10_a43,A43,Nocardiosis
lavish_hr_payroll.cie10_a44,A44,Bartonelosis
lavish_hr_payroll.cie10_a46,A46,Erisipela
lavish_hr_payroll.cie10_a48,A48,Otras enfermedades bacterianas no clasificadas en otra parte
lavish_hr_payroll.cie10_a49,A49,Infeccion bacteriana de sitio no especificado
lavish_hr_payroll.cie10_a50,A50,Sifilis congenita
lavish_hr_payroll.cie10_a51,A51,Sifilis precoz
lavish_hr_payroll.cie10_a52,A52,Sifilis tardia
lavish_hr_payroll.cie10_a53,A53,Otras sifilis y las no especificadas
lavish_hr_payroll.cie10_a54,A54,Infeccion gonococica
lavish_hr_payroll.cie10_a55,A55,Linfogranuloma (venereo) por clamidias
lavish_hr_payroll.cie10_a56,A56,Otras enfermedades de transmision sexual debidas a clamidias
lavish_hr_payroll.cie10_a57,A57,Chancro blando
lavish_hr_payroll.cie10_a58,A58,Granuloma inguinal
lavish_hr_payroll.cie10_a59,A59,Tricomoniasis
lavish_hr_payroll.cie10_a60,A60,Infeccion anogenital debida a virus del herpes (herpes simple)
lavish_hr_payroll.cie10_a63,A63,Otras enfermedades de transmision predominantemente sexual no clasificadas en otra parte
lavish_hr_payroll.cie10_a64,A64,Enfermedad de transmision sexual no especificada
lavish_hr_payroll.cie10_a65,A65,Sifilis no venerea
lavish_hr_payroll.cie10_a66,A66,Frambesia
lavish_hr_payroll.cie10_a67,A67,Pinta (carate)
lavish_hr_payroll.cie10_a68,A68,Fiebres recurrentes
lavish_hr_payroll.cie10_a69,A69,Otras infecciones por espiroquetas
lavish_hr_payroll.cie10_a70,A70,Infeccion debida a Chlamydia psittaci
lavish_hr_payroll.cie10_a71,A71,Tracoma
lavish_hr_payroll.cie10_a74,A74,Otras enfermedades causadas por clamidias
lavish_hr_payroll.cie10_a75,A75,Tifus
lavish_hr_payroll.cie10_a77,A77,Fiebre maculosa (fiebre transmitida por garrapatas)
lavish_hr_payroll.cie10_a78,A78,Fiebre Q
lavish_hr_payroll.cie10_a79,A79,Otras rickettsiosis
lavish_hr_payroll.cie10_a80,A80,Poliomielitis aguda
lavish_hr_payroll.cie10_a81,A81,Infecciones del sistema nervioso central por virus lentos
lavish_hr_payroll.cie10_a82,A82,Rabia
lavish_hr_payroll.cie10_a83,A83,Encefalitis viral transmitida por mosquitos
lavish_hr_payroll.cie10_a84,A84,Encefalitis viral transmitida por garrapatas
lavish_hr_payroll.cie10_a85,A85,Otras encefalitis virales no clasificadas en otra parte
